# 格式：单词|词性|义项(用;分隔，带*者为四级常考义)|等级(A基础 B核心 C进阶)|搭配/派生提示
warm|adj./v./n.|*温暖的;热情的;温暖的;使暖和;变暖;兴奋;保暖;暖和的地方|A|warm up 变暖/热身
warn|v.|*警告,提醒;告诫;预告;通知;示警|A|warn sb of 警告某人
warrant|n./v.|* warrant;授权令,令状;正当理由;证明,保证;使正当;保证|C|search warrant 搜查令
warrior|n.|*战士,勇士;武士;斗士|brave warrior 勇敢的战士
wary|adj.|*谨慎的,小心翼翼的;警惕的;提防的|be wary of 提防
wash|v./n.|*洗,洗涤;洗澡;耐洗;冲刷;洗,洗涤;洗涤物;洗澡;洗刷;水的拍打|A|wash up 洗餐具
waste|n./v./adj.|*浪费;废物,废料;荒地;消耗;浪费,滥用;使荒芜;废弃的;荒芜的|A|waste time 浪费时间
watch|v./n.|*观看,注视;观察;看守;留意;当心;手表;监视;值班人员;注意|A|watch out for 密切注意
water|n./v.|*水;水域;水面;水位;海域;给…浇水;流口水;加水;泪水|A|water supply 供水
wave|n./v.|*波浪;波;挥手;浪潮;波动;挥手示意|A|wave goodbye 挥手告别
way|n./adv.|*方法,方式;道路;方向;路线;方面;情况;习惯;远远地,大大地;非常|A|by the way 顺便说
weak|adj.|*虚弱的,无力的;薄弱的;软弱的;差的;淡薄的;不擅长的|A|be weak in 在…方面薄弱
wealth|n.|*财富,财产;富有;大量;丰富;资源|A|a wealth of 大量的
weapon|n.|*武器,兵器;凶器;手段,工具;斗争工具|A|nuclear weapon 核武器
wear|v./n.|*穿,戴;蓄(须/发);面带;磨损;耐用;穿破;磨损;衣物;耐久性|A|wear out 穿破/使疲惫
weary|adj./v.|*疲倦的,疲劳的;厌倦的;令人厌烦的;使疲倦;使厌烦|be weary of 厌倦
weather|n./v.|*天气,气象;处境;气候;经历;度过;经受住;风化;侵蚀|A|weather forecast 天气预报
weave|v./n.|*编织;编造;编排;织法;编织式样;穿行|C|weave through 穿梭
website|n.|*网站,站点;网页;网址|A|visit a website 访问网站
wedding|n.|*婚礼,婚宴;结婚纪念;结合|A|wedding ceremony 婚礼仪式
weed|n./v.|*杂草,野草;除草;剔除;清除;瘦弱的人|C|weed out 清除/淘汰
week|n.|*周,星期;一周;工作日;工作周;星期,周|A|last week 上周
weekly|adj./adv./n.|*每周的;一周一次的;每周;周刊,周报|A|weekly meeting 周会
weep|v./n.|*哭泣,流泪;渗出;哀悼;哭泣,落泪|C|weep for 为…哭泣
weigh|v.|*称重;有…重;权衡;考虑;重压;起锚;称…的重量;影响|A|weigh the pros and cons 权衡利弊
weight|n./v.|*重量,体重;重压;重担;重要性;砝码;加重量于;使负重;权衡|A|lose weight 减肥
weird|adj.|*奇怪的,怪异的;不可思议的;超自然的;离奇的|B|weird idea 奇怪的想法
welcome|v./adj./n./int.|*欢迎;迎接;乐意接受;受欢迎的;令人愉快的;欢迎;迎接;欢迎辞|A|welcome to 欢迎来到
welfare|n.|*福利,幸福;福祉;福利救济;安宁;福利事业|A|social welfare 社会福利
well|adv./adj./int./n./v.|*好,令人满意地;完全地;详细地;健康的;良好的;井;源泉;涌出|A|as well as 也/和
western|adj./n.|*西方的,西部的;西方国家的;西部片的;西方人;西部人|A|western culture 西方文化
wet|adj./v./n.|*湿的,潮湿的;下雨的;多雨的;懦弱的;把…弄湿;尿湿;湿度;雨天;液体|A|wet weather 潮湿天气
